Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
Slovak Republic,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-83.95535278320312,194,1659539394367
Norway,2014,Energy,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-6.583521842956543,1014,1659539394367
Poland,2018,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-17.123210906982422,113376,1659539394367
United States,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-26.033720016479492,474,1659539394367
Poland,2018,Energy,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-1.8038280010223389,7869,1659539394367
Denmark,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by firm size,Medium,Percent,-0.1716538965702057,701,1659539394367
Denmark,2018,Energy,Employment,Gender gap in hours worked by firm size,Medium,Percent,-0.39152029156684875,12206,1659539394367
Estonia,2018,Non-energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-20.16604995727539,14548,1659539394367
Portugal,2018,Total,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-6.313796043395996,14320,1659539394367
Netherlands,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-11.138669967651367,152,1659539394367
Poland,2018,Important energy consumers,Employment,Gender employment gap by contract type,Temporary contract,Percent,-75.71173858642578,4008,1659539394367
Croatia,2014,Energy generation and distribution,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-2.9764010906219482,650,1659539394367
Poland,2014,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-6.444579124450684,245670,1659539394367
Sweden,2010,Important energy consumers,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-64.24310302734375,470,1659539394367
Estonia,2018,Energy,Employment,Gender employment gap by firm size,Small,Percent,-83.17740631103516,1602,1659539394367
Hungary,2018,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-2.0589098930358887,440,1659539394367
Portugal,2014,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-0.5128421187400818,323,1659539394367
Sweden,2010,Energy generation and distribution,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-14.339340209960938,775,1659539394367
Netherlands,2010,Energy,Employment,Gender wage gap conditional on skills,,Percent,-20.3060302734375,2791,1659539394367
Latvia,2010,Important energy consumers,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-8.504717826843262,1664,1659539394367
Poland,2018,Non-energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,52.46603012084961,237639,1659539394367
Malta,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,0.29741790890693665,60,1659539394367
Poland,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-7.143880844116211,657,1659539394367
Czech Republic,2014,Total,Employment,Gender employment gap by firm size,Medium,Percent,-15.851149559020996,191956,1659539394367
Canada,2018,Important energy consumers,Employment,Gender gap in hours worked,,Percent,-17.630630493164062,7064,1659539394367
Cyprus,2010,Energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-11.944950103759766,1114,1659539394367
Cyprus,2018,Important energy consumers,Employment,Gender employment gap by education level,Upper secondary education,Percent,-75.52694702148438,195,1659539394367
Spain,2018,Energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-11.475720405578613,1804,1659539394367
Slovenia,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-16.238460540771484,1825,1659539394367
Poland,2018,Important energy consumers,Employment,Gender wage gap by firm size,Medium,Percent,2.0313351154327393,3056,1659539394367
Romania,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked,,Percent,-2.41316294670105,2018,1659539394367
Slovenia,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Tertiary education,Percent,-8.201523780822754,216,1659539394367
France,2014,Energy generation and distribution,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-66.27208709716797,377,1659539394367
Cyprus,2018,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-3.945261001586914,11844,1659539394367
United States,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Upper secondary education,Percent,-14.708589553833008,430,1659539394367
Spain,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-18.205739974975586,696,1659539394367
Hungary,2010,Non-energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-6.824644088745117,464421,1659539394367
Belgium,2014,Total,Employment,Gender wage gap by education level,Tertiary education,Percent,-10.846409797668457,27042,1659539394367
Cyprus,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-0.4067746102809906,16,1659539394367
France,2014,Important energy consumers,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-10.169659614562988,1114,1659539394367
United Kingdom,2014,Important energy consumers,Employment,Gender wage gap by firm size,Small,Percent,-8.943170547485352,380,1659539394367
Luxembourg,2018,Total,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-73.5643310546875,4349,1659539394367
Portugal,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by contract type,Permanent contract,Percent,8.71500015258789,276,1659539394367
Belgium,2014,Energy generation and distribution,Employment,Gender employment gap by contract type,Permanent contract,Percent,-66.62967681884766,1224,1659539394367
Latvia,2010,Energy generation and distribution,Employment,Gender employment gap by education level,Tertiary education,Percent,-42.552391052246094,868,1659539394367
Bulgaria,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-24.34326934814453,2062,1659539394367
